SalesOrderID,DateKey,ProductKey,CustomerKey,RegionKey,SalespersonKey,Quantity,UnitPrice,DiscountPct,SalesAmount,COGS,Profit
SO105914,20230109,14,95,3,11,4,59000,0.0,236000,48000,188000
SO105890,20230109,13,257,12,5,4,89000,0.0,356000,100000,256000
SO101939,20230109,4,244,7,8,4,8999000,0.0,35996000,24800000,11196000
SO104943,20230110,20,74,13,9,1,129000,0.0,129000,55000,74000
SO103676,20230110,13,152,3,5,4,89000,0.05,338200,100000,238200
SO104352,20230110,11,93,1,11,4,199000,0.05,756200,340000,416200
SO106077,20230110,9,83,8,9,2,349000,0.05,663100,380000,283100
SO106104,20230110,11,238,3,12,2,199000,0.0,398000,170000,228000
SO107401,20230110,10,136,11,2,4,599000,0.1,2156400,1240000,916400
SO104325,20230110,2,227,1,11,4,4499000,0.0,17996000,12400000,5596000
SO108116,20230111,14,121,13,4,2,59000,0.0,118000,24000,94000
SO103057,20230111,19,54,12,11,1,169000,0.05,160600,75000,85600
SO102364,20230111,17,149,2,11,2,329000,0.0,658000,300000,358000
SO111932,20230111,18,272,6,11,4,649000,0.0,2596000,1280000,1316000
SO106451,20230112,6,231,18,8,2,2199000,0.0,4398000,2700000,1698000
SO102340,20230112,20,205,7,4,2,129000,0.05,245100,110000,135100
SO103892,20230112,12,12,6,9,1,299000,0.0,299000,120000,179000
SO106023,20230112,9,136,11,2,4,349000,0.0,1396000,760000,636000
SO107824,20230112,14,166,4,2,4,59000,0.0,236000,48000,188000
SO109235,20230113,14,122,18,2,5,59000,0.0,295000,60000,235000
SO107443,20230113,12,295,8,7,1,299000,0.1,269100,120000,149100
SO101823,20230113,17,238,3,10,3,329000,0.05,937600,450000,487600
SO107332,20230113,11,149,2,3,1,199000,0.05,189000,85000,104000
SO108621,20230113,13,136,11,7,4,89000,0.0,356000,100000,256000
SO103182,20230113,20,219,7,4,4,129000,0.05,490200,220000,270200
SO100002,20230113,3,199,6,11,2,1999000,0.1,3598200,2900000,698200
SO109042,20230113,14,145,14,5,1,59000,0.0,59000,12000,47000
SO103932,20230113,17,205,7,11,5,329000,0.1,1480500,750000,730500
SO105645,20230114,20,93,1,1,5,129000,0.0,645000,275000,370000
SO109048,20230114,18,277,1,6,4,649000,0.0,2596000,1280000,1316000
SO107642,20230114,13,79,8,1,4,89000,0.05,338200,100000,238200
SO110687,20230114,14,147,12,4,1,59000,0.1,53100,12000,41100
SO106476,20230115,19,168,4,11,4,169000,0.0,676000,300000,376000
SO110068,20230115,12,9,8,10,5,299000,0.05,1420200,600000,820200
SO101285,20230115,7,36,1,3,4,499000,0.05,1896200,1120000,776200
SO108737,20230115,13,191,8,9,3,89000,0.05,253600,75000,178600
SO107195,20230115,6,204,3,8,4,2199000,0.0,8796000,5400000,3396000
SO107906,20230115,17,68,4,11,4,329000,0.05,1250200,600000,650200
SO106978,20230115,9,62,14,12,4,349000,0.0,1396000,760000,636000
SO109112,20230116,9,87,6,12,1,349000,0.0,349000,190000,159000
SO106336,20230116,19,291,14,7,3,169000,0.0,507000,225000,282000
SO104823,20230116,20,53,1,9,3,129000,0.0,387000,165000,222000
SO103867,20230116,17,149,2,6,1,329000,0.05,312600,150000,162600
SO111538,20230116,12,292,11,4,1,299000,0.05,284000,120000,164000
SO104495,20230116,14,244,7,3,1,59000,0.05,56000,12000,44000
SO108867,20230117,9,26,5,7,4,349000,0.0,1396000,760000,636000
SO105511,20230117,20,14,1,3,1,129000,0.1,116100,55000,61100
SO104526,20230117,20,275,3,10,3,129000,0.05,367600,165000,202600
SO108518,20230117,2,222,15,1,4,4499000,0.0,17996000,12400000,5596000
SO104914,20230117,13,206,1,3,1,89000,0.0,89000,25000,64000
SO102278,20230117,20,198,9,9,2,129000,0.1,232200,110000,122200
SO106001,20230117,10,246,3,1,2,599000,0.0,1198000,620000,578000
SO110210,20230118,20,237,8,7,3,129000,0.05,367600,165000,202600
SO103739,20230118,12,54,12,8,4,299000,0.05,1136200,480000,656200
SO101295,20230118,19,236,3,11,3,169000,0.05,481600,225000,256600
SO111325,20230118,15,68,4,6,5,899000,0.05,4270200,2400000,1870200
SO108794,20230118,13,166,4,1,5,89000,0.0,445000,125000,320000
SO109028,20230118,6,276,7,6,4,2199000,0.1,7916400,5400000,2516400
SO100812,20230118,15,2,1,6,3,899000,0.0,2697000,1440000,1257000
SO109016,20230118,15,30,6,6,3,899000,0.0,2697000,1440000,1257000
SO110791,20230119,8,298,3,8,3,799000,0.05,2277200,1260000,1017200
SO101841,20230119,9,141,3,12,3,349000,0.1,942300,570000,372300
SO111429,20230119,13,188,1,11,4,89000,0.05,338200,100000,238200
SO107594,20230119,11,76,9,12,5,199000,0.05,945200,425000,520200
SO101859,20230120,11,42,7,6,5,199000,0.0,995000,425000,570000
SO111275,20230120,7,181,1,7,5,499000,0.15,2120800,1400000,720800
SO103206,20230120,19,211,1,8,4,169000,0.0,676000,300000,376000
SO108883,20230120,12,96,1,8,5,299000,0.0,1495000,600000,895000
SO101620,20230120,3,30,6,3,1,1999000,0.0,1999000,1450000,549000
SO110670,20230120,12,221,3,9,1,299000,0.0,299000,120000,179000
SO105397,20230120,15,251,7,8,4,899000,0.05,3416200,1920000,1496200
SO100853,20230120,18,14,1,10,2,649000,0.0,1298000,640000,658000
SO104206,20230120,19,153,3,1,3,169000,0.05,481600,225000,256600
SO104974,20230121,12,26,5,1,2,299000,0.0,598000,240000,358000
SO111088,20230121,20,111,1,1,1,129000,0.0,129000,55000,74000
SO105526,20230121,12,54,12,2,4,299000,0.05,1136200,480000,656200
SO101440,20230121,20,259,7,11,2,129000,0.05,245100,110000,135100
SO102222,20230121,16,208,2,8,3,1599000,0.05,4557200,2760000,1797200
SO105963,20230121,18,291,14,7,1,649000,0.05,616600,320000,296600
SO102119,20230122,17,282,14,2,2,329000,0.0,658000,300000,358000
SO108206,20230122,14,92,3,5,3,59000,0.0,177000,36000,141000
SO108291,20230122,8,25,12,2,5,799000,0.0,3995000,2100000,1895000
SO111128,20230122,11,19,1,9,1,199000,0.05,189000,85000,104000
SO105799,20230123,19,89,3,12,4,169000,0.05,642200,300000,342200
SO110219,20230123,14,130,11,3,5,59000,0.0,295000,60000,235000
SO100924,20230123,16,215,14,4,4,1599000,0.0,6396000,3680000,2716000
SO108958,20230123,20,31,2,8,4,129000,0.0,516000,220000,296000
SO106307,20230123,19,245,3,2,4,169000,0.0,676000,300000,376000
SO103319,20230123,15,274,17,6,5,899000,0.0,4495000,2400000,2095000
SO106875,20230123,17,133,1,1,3,329000,0.05,937600,450000,487600
SO103123,20230123,13,257,12,7,4,89000,0.05,338200,100000,238200
SO101016,20230124,12,11,12,6,4,299000,0.0,1196000,480000,716000
SO106293,20230124,7,116,1,10,2,499000,0.1,898200,560000,338200
SO102897,20230124,14,92,3,2,3,59000,0.0,177000,36000,141000
SO104862,20230124,13,36,1,2,2,89000,0.0,178000,50000,128000
SO107541,20230124,14,27,6,5,3,59000,0.1,159300,36000,123300
SO109281,20230125,14,120,12,11,5,59000,0.0,295000,60000,235000
SO105638,20230125,9,212,1,11,5,349000,0.0,1745000,950000,795000
SO108942,20230125,12,232,5,11,1,299000,0.05,284000,120000,164000
SO105728,20230125,14,295,8,2,1,59000,0.0,59000,12000,47000
SO104587,20230125,13,92,3,7,1,89000,0.0,89000,25000,64000
SO102702,20230126,16,205,7,7,3,1599000,0.0,4797000,2760000,2037000
SO110741,20230126,1,83,8,3,1,13999000,0.0,13999000,9800000,4199000
SO108866,20230126,14,144,1,8,2,59000,0.0,118000,24000,94000
SO100469,20230126,7,286,4,11,1,499000,0.05,474000,280000,194000
SO103717,20230126,14,233,7,8,3,59000,0.05,168200,36000,132200
SO111679,20230126,20,87,6,12,1,129000,0.1,116100,55000,61100
SO110425,20230126,13,93,1,8,2,89000,0.05,169100,50000,119100
SO110398,20230126,9,9,8,3,4,349000,0.0,1396000,760000,636000
SO101472,20230126,20,7,8,12,1,129000,0.0,129000,55000,74000
SO104563,20230126,9,215,14,5,1,349000,0.0,349000,190000,159000
SO109364,20230127,13,281,3,5,4,89000,0.0,356000,100000,256000
SO107774,20230127,13,71,9,7,4,89000,0.0,356000,100000,256000
SO101972,20230127,2,59,1,10,4,4499000,0.05,17096200,12400000,4696200
SO111976,20230127,11,249,1,1,4,199000,0.1,716400,340000,376400
SO102433,20230127,20,139,2,6,4,129000,0.0,516000,220000,296000
SO101435,20230127,11,58,16,3,3,199000,0.0,597000,255000,342000
SO100953,20230127,19,115,4,1,2,169000,0.1,304200,150000,154200
SO110098,20230128,11,161,2,11,1,199000,0.0,199000,85000,114000
SO103693,20230128,14,228,3,9,1,59000,0.0,59000,12000,47000
SO105652,20230128,11,273,2,4,1,199000,0.0,199000,85000,114000
SO106768,20230129,19,170,3,7,2,169000,0.05,321100,150000,171100
SO109410,20230129,17,96,1,12,5,329000,0.0,1645000,750000,895000
SO108698,20230129,19,84,12,11,4,169000,0.05,642200,300000,342200
SO111011,20230129,4,53,1,1,1,8999000,0.1,8099100,6200000,1899100
SO107839,20230129,20,275,3,10,2,129000,0.0,258000,110000,148000
SO105502,20230129,20,89,3,5,2,129000,0.05,245100,110000,135100
SO109620,20230129,10,111,1,3,4,599000,0.05,2276200,1240000,1036200
SO110083,20230129,9,204,3,2,2,349000,0.1,628200,380000,248200
SO107402,20230130,20,264,7,12,3,129000,0.05,367600,165000,202600
SO100830,20230130,16,294,8,5,2,1599000,0.0,3198000,1840000,1358000
SO105312,20230130,18,60,1,12,3,649000,0.0,1947000,960000,987000
SO100850,20230130,20,98,7,12,1,129000,0.0,129000,55000,74000
SO109320,20230130,3,262,1,7,2,1999000,0.0,3998000,2900000,1098000
SO103238,20230130,7,29,1,7,5,499000,0.0,2495000,1400000,1095000
SO111339,20230130,6,281,3,10,5,2199000,0.05,10445200,6750000,3695200
SO109244,20230130,5,201,9,12,4,3999000,0.0,15996000,11600000,4396000
SO106480,20230130,5,189,18,12,4,3999000,0.0,15996000,11600000,4396000
SO104473,20230131,8,252,7,11,2,799000,0.0,1598000,840000,758000
SO103402,20230131,19,10,2,9,2,169000,0.05,321100,150000,171100
SO108374,20230201,20,96,1,1,4,129000,0.0,516000,220000,296000
SO103304,20230201,18,170,3,5,4,649000,0.1,2336400,1280000,1056400
SO109273,20230201,7,8,8,9,1,499000,0.05,474000,280000,194000
SO109424,20230201,14,168,4,8,1,59000,0.1,53100,12000,41100
SO106389,20230201,15,200,8,8,1,899000,0.0,899000,480000,419000
SO107382,20230201,12,2,1,1,1,299000,0.05,284000,120000,164000
SO103068,20230201,14,181,1,12,4,59000,0.15,200600,48000,152600
SO101774,20230202,19,121,13,10,2,169000,0.0,338000,150000,188000
SO108655,20230202,3,6,1,10,5,1999000,0.1,8995500,7250000,1745500
SO104107,20230202,19,242,13,10,4,169000,0.0,676000,300000,376000
SO102706,20230202,17,274,17,2,4,329000,0.0,1316000,600000,716000
SO106421,20230202,13,1,2,11,2,89000,0.0,178000,50000,128000
SO102780,20230202,14,50,9,5,5,59000,0.0,295000,60000,235000
SO103351,20230202,10,85,3,6,3,599000,0.0,1797000,930000,867000
SO102360,20230203,12,166,4,9,1,299000,0.0,299000,120000,179000
SO105390,20230203,14,121,13,1,1,59000,0.0,59000,12000,47000
SO103037,20230203,16,193,1,5,5,1599000,0.0,7995000,4600000,3395000
SO108457,20230203,14,251,7,8,2,59000,0.0,118000,24000,94000
SO103149,20230203,5,268,8,2,5,3999000,0.0,19995000,14500000,5495000
SO109928,20230203,9,111,1,1,4,349000,0.0,1396000,760000,636000
SO104935,20230203,20,190,10,10,1,129000,0.1,116100,55000,61100
SO106174,20230204,17,167,4,4,4,329000,0.05,1250200,600000,650200
SO110925,20230204,11,71,9,4,5,199000,0.05,945200,425000,520200
SO110357,20230204,11,169,5,7,3,199000,0.0,597000,255000,342000
SO100795,20230204,13,12,6,8,5,89000,0.0,445000,125000,320000
SO107102,20230205,11,138,8,6,4,199000,0.0,796000,340000,456000
SO109284,20230205,13,180,1,3,1,89000,0.0,89000,25000,64000
SO100803,20230205,15,240,8,9,5,899000,0.0,4495000,2400000,2095000
SO106391,20230205,19,164,12,1,4,169000,0.05,642200,300000,342200
SO107347,20230205,12,273,2,8,1,299000,0.05,284000,120000,164000
SO106071,20230205,13,101,2,7,5,89000,0.0,445000,125000,320000
SO100932,20230205,12,17,4,10,5,299000,0.0,1495000,600000,895000
SO107776,20230206,14,288,2,9,5,59000,0.05,280200,60000,220200
SO111811,20230206,4,168,4,2,3,8999000,0.0,26997000,18600000,8397000
SO109800,20230206,7,126,1,9,2,499000,0.0,998000,560000,438000
SO100939,20230206,11,90,6,4,5,199000,0.05,945200,425000,520200
SO105327,20230206,6,100,15,10,2,2199000,0.0,4398000,2700000,1698000
SO107478,20230206,11,97,1,8,1,199000,0.0,199000,85000,114000
SO108251,20230206,9,253,1,4,1,349000,0.0,349000,190000,159000
SO106165,20230206,11,199,6,7,3,199000,0.1,537300,255000,282300
SO111062,20230206,10,122,18,6,4,599000,0.05,2276200,1240000,1036200
SO104088,20230206,11,222,15,2,1,199000,0.0,199000,85000,114000
SO103760,20230207,2,61,11,4,3,4499000,0.0,13497000,9300000,4197000
SO104004,20230207,19,206,1,8,4,169000,0.0,676000,300000,376000
SO108953,20230207,11,247,3,9,4,199000,0.0,796000,340000,456000
SO107250,20230207,10,290,14,9,2,599000,0.05,1138100,620000,518100
SO102694,20230207,20,113,15,2,5,129000,0.0,645000,275000,370000
SO109313,20230207,18,95,3,11,4,649000,0.0,2596000,1280000,1316000
SO107930,20230207,18,247,3,2,2,649000,0.1,1168200,640000,528200
SO104400,20230208,7,16,1,10,5,499000,0.0,2495000,1400000,1095000
SO109809,20230208,12,296,8,6,2,299000,0.05,568100,240000,328100
SO104754,20230208,9,63,1,11,5,349000,0.05,1657800,950000,707800
SO101251,20230208,19,194,14,4,2,169000,0.05,321100,150000,171100
SO105542,20230208,8,15,7,4,3,799000,0.0,2397000,1260000,1137000
SO107708,20230208,14,201,9,8,2,59000,0.05,112100,24000,88100
SO100257,20230208,14,107,1,4,2,59000,0.05,112100,24000,88100
SO106586,20230208,12,179,2,11,2,299000,0.0,598000,240000,358000
SO108537,20230209,8,179,2,5,4,799000,0.0,3196000,1680000,1516000
SO106401,20230209,19,280,6,1,1,169000,0.1,152100,75000,77100
SO110377,20230209,9,36,1,6,3,349000,0.1,942300,570000,372300
SO108638,20230209,3,9,8,1,5,1999000,0.0,9995000,7250000,2745000
SO100622,20230209,13,136,11,2,5,89000,0.05,422800,125000,297800
SO111774,20230209,17,280,6,9,5,329000,0.0,1645000,750000,895000
SO101788,20230209,14,290,14,10,2,59000,0.0,118000,24000,94000
SO103460,20230209,10,104,12,4,2,599000,0.0,1198000,620000,578000
SO107986,20230209,14,71,9,1,4,59000,0.0,236000,48000,188000
SO103239,20230210,19,1,2,11,2,169000,0.0,338000,150000,188000
SO101458,20230210,3,80,1,3,4,1999000,0.1,7196400,5800000,1396400
SO108074,20230210,8,221,3,9,3,799000,0.1,2157300,1260000,897300
SO108363,20230210,18,152,3,7,1,649000,0.15,551600,320000,231600
SO111624,20230210,10,282,14,5,4,599000,0.05,2276200,1240000,1036200
SO101031,20230210,11,195,3,5,1,199000,0.0,199000,85000,114000
SO107333,20230210,19,69,8,4,4,169000,0.0,676000,300000,376000
SO107785,20230210,3,144,1,8,4,1999000,0.0,7996000,5800000,2196000
SO111155,20230210,13,197,3,8,3,89000,0.0,267000,75000,192000
SO102600,20230210,14,185,3,6,1,59000,0.0,59000,12000,47000
SO108036,20230211,17,293,17,3,2,329000,0.0,658000,300000,358000
SO105175,20230211,12,233,7,9,3,299000,0.1,807300,360000,447300
SO102209,20230211,19,191,8,3,1,169000,0.1,152100,75000,77100
SO107375,20230211,20,70,8,9,3,129000,0.0,387000,165000,222000
SO103931,20230211,19,280,6,7,1,169000,0.05,160600,75000,85600
SO110677,20230211,2,293,17,4,3,4499000,0.0,13497000,9300000,4197000
SO110045,20230211,13,290,14,6,3,89000,0.05,253600,75000,178600
SO105549,20230211,19,126,1,4,3,169000,0.0,507000,225000,282000
SO110347,20230211,12,256,9,7,3,299000,0.0,897000,360000,537000
SO111958,20230211,10,120,12,11,3,599000,0.0,1797000,930000,867000
SO103281,20230212,11,299,1,12,2,199000,0.05,378100,170000,208100
SO102201,20230212,20,247,3,6,4,129000,0.0,516000,220000,296000
SO102234,20230212,1,192,3,7,5,13999000,0.05,66495200,49000000,17495200
SO105778,20230212,4,263,2,12,1,8999000,0.0,8999000,6200000,2799000
SO105429,20230212,11,163,14,12,5,199000,0.0,995000,425000,570000
SO104382,20230212,12,236,3,12,4,299000,0.0,1196000,480000,716000
SO107007,20230212,14,223,3,12,1,59000,0.0,59000,12000,47000
SO106905,20230212,10,52,3,12,4,599000,0.0,2396000,1240000,1156000
SO101482,20230212,17,10,2,6,3,329000,0.0,987000,450000,537000
SO105920,20230213,8,82,3,10,3,799000,0.1,2157300,1260000,897300
SO106128,20230213,4,283,11,5,1,8999000,0.0,8999000,6200000,2799000
SO102093,20230213,11,6,1,10,1,199000,0.0,199000,85000,114000
SO110393,20230213,11,289,2,3,1,199000,0.05,189000,85000,104000
SO107617,20230213,6,67,3,7,5,2199000,0.0,10995000,6750000,4245000
SO109212,20230213,15,241,4,6,4,899000,0.05,3416200,1920000,1496200
SO108718,20230213,9,203,14,2,3,349000,0.0,1047000,570000,477000
SO100219,20230213,11,245,3,2,3,199000,0.0,597000,255000,342000
SO100106,20230213,12,126,1,3,1,299000,0.0,299000,120000,179000
SO104796,20230214,8,254,2,6,4,799000,0.05,3036200,1680000,1356200
SO104803,20230214,13,133,1,6,3,89000,0.0,267000,75000,192000
SO105919,20230214,11,170,3,7,3,199000,0.1,537300,255000,282300
SO100644,20230214,14,46,17,12,4,59000,0.1,212400,48000,164400
SO105877,20230214,9,171,1,7,2,349000,0.0,698000,380000,318000
SO109644,20230214,20,80,1,3,2,129000,0.1,232200,110000,122200
SO104956,20230214,7,126,1,3,5,499000,0.05,2370200,1400000,970200
SO102295,20230215,14,91,14,12,1,59000,0.0,59000,12000,47000
SO110394,20230215,8,166,4,1,2,799000,0.05,1518100,840000,678100
SO105171,20230215,15,137,6,3,4,899000,0.05,3416200,1920000,1496200
SO108583,20230215,18,56,7,7,2,649000,0.0,1298000,640000,658000
SO106659,20230215,10,272,6,7,5,599000,0.05,2845200,1550000,1295200
SO111675,20230215,3,169,5,5,4,1999000,0.0,7996000,5800000,2196000
SO102763,20230215,19,273,2,5,5,169000,0.0,845000,375000,470000
SO106479,20230215,14,212,1,2,4,59000,0.0,236000,48000,188000
SO101716,20230215,6,274,17,3,4,2199000,0.05,8356200,5400000,2956200
SO108144,20230216,9,20,1,10,2,349000,0.0,698000,380000,318000
SO108106,20230217,20,138,8,11,4,129000,0.0,516000,220000,296000
SO102976,20230217,15,245,3,7,4,899000,0.0,3596000,1920000,1676000
SO111327,20230217,14,232,5,2,2,59000,0.05,112100,24000,88100
SO106783,20230217,11,246,3,4,1,199000,0.0,199000,85000,114000
SO102543,20230218,12,50,9,1,2,299000,0.0,598000,240000,358000
SO104274,20230218,17,43,8,12,2,329000,0.0,658000,300000,358000
SO103331,20230218,2,185,3,1,1,4499000,0.0,4499000,3100000,1399000
SO109569,20230218,18,67,3,5,3,649000,0.1,1752300,960000,792300
SO103443,20230218,13,146,1,3,2,89000,0.0,178000,50000,128000
SO109690,20230218,16,289,2,10,1,1599000,0.1,1439100,920000,519100
SO107905,20230218,18,70,8,1,4,649000,0.0,2596000,1280000,1316000
SO104763,20230219,18,105,2,9,2,649000,0.0,1298000,640000,658000
SO106711,20230219,13,72,6,3,2,89000,0.1,160200,50000,110200
SO107980,20230219,17,19,1,3,3,329000,0.05,937600,450000,487600
SO103158,20230219,14,83,8,9,3,59000,0.0,177000,36000,141000
SO109455,20230220,17,3,1,3,1,329000,0.0,329000,150000,179000
SO100630,20230220,2,69,8,12,1,4499000,0.0,4499000,3100000,1399000
SO104318,20230220,7,183,2,2,5,499000,0.0,2495000,1400000,1095000
SO103870,20230220,2,161,2,5,2,4499000,0.05,8548100,6200000,2348100
SO100981,20230220,14,162,1,5,5,59000,0.05,280200,60000,220200
SO101461,20230220,11,271,2,12,3,199000,0.0,597000,255000,342000
SO106542,20230220,10,76,9,11,3,599000,0.0,1797000,930000,867000
SO102725,20230220,14,159,4,10,3,59000,0.0,177000,36000,141000
SO103048,20230220,6,257,12,12,4,2199000,0.0,8796000,5400000,3396000
SO105110,20230220,5,99,3,8,2,3999000,0.05,7598100,5800000,1798100
SO107214,20230220,13,145,14,5,2,89000,0.0,178000,50000,128000
SO101506,20230221,19,98,7,5,4,169000,0.0,676000,300000,376000
SO107590,20230221,14,103,8,10,5,59000,0.05,280200,60000,220200
SO107890,20230221,13,265,14,10,4,89000,0.15,302600,100000,202600
SO100919,20230221,11,212,1,5,4,199000,0.0,796000,340000,456000
SO106592,20230221,14,50,9,1,2,59000,0.1,106200,24000,82200
SO107878,20230221,6,219,7,9,3,2199000,0.15,5607400,4050000,1557400
SO108424,20230221,13,250,7,8,3,89000,0.0,267000,75000,192000
SO105112,20230222,8,172,1,9,4,799000,0.0,3196000,1680000,1516000
SO101599,20230222,19,275,3,6,2,169000,0.0,338000,150000,188000
SO100742,20230222,7,25,12,3,5,499000,0.0,2495000,1400000,1095000
SO101222,20230222,14,232,5,11,1,59000,0.0,59000,12000,47000
SO111375,20230222,14,279,12,4,3,59000,0.0,177000,36000,141000
SO107911,20230222,17,291,14,5,3,329000,0.1,888300,450000,438300
SO102252,20230223,8,4,3,4,4,799000,0.1,2876400,1680000,1196400
SO103133,20230223,19,103,8,12,3,169000,0.0,507000,225000,282000
SO109768,20230223,16,94,3,7,1,1599000,0.0,1599000,920000,679000
SO101651,20230223,19,286,4,4,1,169000,0.0,169000,75000,94000
SO101023,20230223,10,143,9,6,2,599000,0.05,1138100,620000,518100
SO110796,20230223,14,8,8,9,5,59000,0.0,295000,60000,235000
SO107960,20230223,16,82,3,9,2,1599000,0.0,3198000,1840000,1358000
SO104983,20230223,14,66,12,6,4,59000,0.05,224200,48000,176200
SO109672,20230223,11,78,1,2,5,199000,0.0,995000,425000,570000
